Название;Цена;Цвет;Страна производства;Материал;Размер;Форма;Описание;Сайт
Инь-янь;2700;Белый, чёрный;Китай;Перо, текстиль;14 см;Круглая;;https://www.wildberries.ru/catalog/114175625/detail.aspx
Паутинка со звёздочками;1400;Розовый;Китай;"Металл, перо, 
текстиль";13 см;Круглая;;https://www.wildberries.ru/catalog/114174901/detail.aspx
Месяц с бусинами;1600;Разноцветный;Китай;"Бусины, перо, 
текстиль";16 см;Месяц;;https://www.wildberries.ru/catalog/114176044/detail.aspx
Треугльник от сглаза;2500;Белый;Китай;Текстиль;85*17 см;Треугольная;;https://www.wildberries.ru/catalog/114176995/detail.aspx
Месяц и листочки;2600;Жёлтый;Китай;Текстиль;75*20 см;Месяц;;https://www.wildberries.ru/catalog/114176802/detail.aspx
Небесно-голубой;2500;Голубой;Россия;"Бусины, перо, 
текстиль";22*59 см;Круглая;"Ловец снов «Небесный» с голубыми перьями.
В паутину вплетено бирюзовое солнце.
С таким ловцом сновидений вам чаще будут сняться сны о море, уходящим в небесную даль
Создаст атмосферу уюта и подарит волшебные сны.";https://www.livemaster.ru/item/45983238-dlya-doma-i-interera-lovets-snov-nebesno-goluboj
Розовый;2200;Розовый;Россия;"Бусины, перо, 
текстиль";13*53 см;Круглая;"Весенний, чувственный ловец снов с аметистом и розовым кварцем.
Создаст атмосферу уюта и подарит волшебные сны.";https://www.livemaster.ru/item/40564278-dlya-doma-i-interera-lovets-snov-rozovyj
Аметистовый;2700;Аметистовый;Россия;"Бусины, перо, 
текстиль";25*78 см;Круглая;"Способен очистить место от собранного негатива.
Цвет минерала, фиолетовый, символизирует «третий глаз». Способен приносить гармонию, усиливать интуицию, расслаблять обстановку.
При медитации дарит равновесие.
Бескорыстным людям помогает улучшить жизнь – сохраняет домашний уют, защищает от сглазов, избавляет от негативных мыслей, вспыльчивости.
Мужчинам камень добавляет храбрость, оберегает от непродуманных действий во время конфликта.
Аметист имеет свойства и для женщин. Он поможет сберечь красоту, молодость.";https://www.livemaster.ru/item/45983318-dlya-doma-i-interera-lovets-snov-ametistovyj
Изумрудный;2500;Голубой;Россия;"Бусины, перо, 
текстиль";20*58 см;Круглая;Изумрудный цвет ассоциируется с роскошью и сиянием. А значение этого цвета символизирует стабильность, благополучие, процветание и последовательность.;https://www.livemaster.ru/item/46071428-dlya-doma-i-interera-lovets-snov-izumrudnyj
Вуаль бесконечности;3500;Белый, чёрный;Россия;"Бусины, перо, 
текстиль";19*50 см;Круглая;"Вуаль Бесконечности веет над целой вселенной, накрыв сущий космос на все световые года.
Под кружевом прячутся Млечности, системы, планемо. И на всех небосклоны увила её красота.
Вуаль Бесконечности усыпана звездною пылью, искрясь, как алмазная россыпь средь темных волос.
За этой Вуалью собрались всё сказки и были, превратившись в саму квинтэссенцию будущих грёз.
Под Вуалью клубятся туманы возможных итогов, догадки, гипотезы, шансы. И, слившись в одно,
Они создают вероятности и новые догмы, чтобы жизнь обрести в каком-то из видимых снов.
Отважишься ли заглянуть под Вуали покров?...";https://www.livemaster.ru/item/40013886-dlya-doma-i-interera-lovtsy-snov-lovets-snov-vual-beskonechno
Летний ветер;3900;Зелёный;Россия;"Бусины, перо, 
текстиль, агат";22*52 см;Круглая;;https://www.livemaster.ru/item/47171968-dlya-doma-i-interera-lovets-snov-letnij-veter-s-agatom-i-spil
Северное сияние;4200;Разноцветный;Россия;"Бусины, перо,
текстиль";25*67 см;Круглая;;https://www.livemaster.ru/item/44504454-dlya-doma-i-interera-lovets-snov-severnoe-siyanie
Снежный лес;3500;Белый;Россия;"Бусины, перо,
текстиль, еловые ветки";19*49 см;Круглая;;https://www.livemaster.ru/item/43148346-dlya-doma-i-interera-lovets-snov-snezhnyj-les
Карамелька;1100;Разноцветный;Россия;"Бусины, перо,
текстиль";10*37 см;Круглая;;https://www.livemaster.ru/item/45687454-dlya-doma-i-interera-lovets-snov-karamelka
Страж леса;1000;Разноцветный;Россия;"Бусины, перо,
текстиль, мох";15*35 см;Круглая;;https://www.livemaster.ru/item/42475292-dlya-doma-i-interera-lovets-snov-strazh-lesa
Осьминог;5100;Синий, фиолетовый;Россия;"Бусины, перо,
текстиль";35*70 см;Круглая;;https://www.livemaster.ru/item/42923918-dlya-doma-i-interera-bolshoj-lovets-snov-osminog-s-ruchnoj-ro
Северная мечта;4000;Разноцветный;Россия;"Бусины, перо,
текстиль";35*70 см;Круглая;;https://www.livemaster.ru/item/46036300-dlya-doma-i-interera-lovets-snov-severnaya-mechta
Шаман;3000;Разноцветный;Россия;"Бусины, перо,
текстиль, дерево";30*60 см;Треугольная;;https://www.livemaster.ru/item/40750858-dlya-doma-i-interera-lovets-snov
Веточка с почками;2200;Разноцветный;Китай;"Бусины, перо,
текстиль";16*48 см;Круглая;;https://www.wildberries.ru/catalog/114175411/detail.aspx
Пять колец;1500;Разноцветный;Китай;"Бусины, перо,
текстиль";15*40 см;Круглая;;https://www.wildberries.ru/catalog/114174786/detail.aspx
Морской;2000;Разноцветный;Россия;"Бусины, перо,
текстиль";21*47 см;Круглая;;https://www.livemaster.ru/item/48016014-dlya-doma-i-interera-lovets-snov-morskoj
